train_loss,train_acc,val_loss,val_acc,lr
1.7080499396032216,37.13,1.4289279580116272,47.84,0.004
1.3501498942472496,50.856,1.246001559495926,54.47,0.003999022989524149
1.2181322185360655,56.214,1.1285766184329986,59.6,0.003996092922287978
1.1277119140235745,59.53,1.087068146467209,61.39,0.003991212689914099
1.0580556325766506,62.392,1.0146383792161942,63.76,0.003984387108602667
1.0093671788974685,64.188,0.9918302059173584,64.55,0.003975622914378373
0.9697583925967314,65.718,0.9755175918340683,65.04,0.003964928756442805
0.9312039267043678,67.25,0.9292460262775422,67.02,0.003952315188638721
0.9074354342051915,67.878,0.9019104957580566,68.07,0.00393779465903469
0.8807718954524215,69.142,0.8661781191825867,69.44,0.003921381497640348
0.8556003041413366,69.766,0.9209184169769287,66.96,0.0039030919022644047
0.8322403582991386,70.508,0.9366058677434921,67.38,0.0038829439225293674
0.812429162312527,71.31,0.8241346538066864,71.3,0.0038609574420587385
0.7884047347672132,72.252,0.8228551566600799,71.02,0.003837154158854283
0.76652015471945,73.114,0.8579401850700379,70.4,0.0038115575638827197
0.7533817206110273,73.578,0.7843137234449387,72.78,0.0037841929178929696
0.741807626218212,73.694,0.7667877674102783,72.91,0.003755087226486851
0.7345135035563488,74.234,0.742375859618187,73.7,0.0037242692134678095
0.711675723596495,74.938,0.7690814107656478,73.12,0.003691769292493991
0.7036356013648364,75.168,0.7439610868692398,73.92,0.0036576195370636336
0.6967205064637321,75.416,0.7309843093156815,74.19,0.0036218536488623974
0.6832135848853053,75.988,0.7343887329101563,74.71,0.003584506924503868
0.6758897310617019,76.086,0.7257215946912765,74.48,0.003545616220696064
0.6711077611057126,76.242,0.7385061770677567,74.21,0.0035052199178683113
0.6618105027140403,76.648,0.7597964733839035,73.65,0.003463357882294396
0.6565305827831736,76.826,0.7341615110635757,74.75,0.0034200714267493652
0.6477903516925111,77.032,0.7960804671049118,72.75,0.003375403269738805
0.6443702913060481,77.052,0.723114424943924,74.93,0.003329397493340832
0.6424367537303847,77.372,0.7097305923700332,74.93,0.003282099499702407
0.6312927676706898,77.824,0.6994511127471924,75.92,0.0032335559662328953
0.6279315419343053,77.944,0.8069280833005905,72.19,0.0031838147995390986
0.6202423706346628,78.316,0.7358308225870133,74.62,0.0031329250881472204
0.6128354571303543,78.258,0.6871104508638382,76.39,0.0030809370540584146
0.6080126263657395,78.424,0.6827565222978592,76.45,0.0030279020031857367
0.5989984882121183,78.898,0.6803541094064712,76.32,0.0029738722747213978
0.6025800461671791,78.586,0.6828531324863434,76.66,0.0029189011894843043
0.592982967593232,79.176,0.6726005911827088,76.44,0.0028630429972988456
0.5886644809221735,79.134,0.6540726751089097,77.45,0.002806352823456867
0.5854219757780736,79.12,0.6497951298952103,77.28,0.0027488866143156646
0.5820372268861654,79.266,0.6668068259954453,77.15,0.002690701082085679
0.5799461496727807,79.544,0.6609774470329285,77.48,0.002631853648862398
0.5749393306216415,79.604,0.6960992872714996,76.19,0.002572402389957676
0.5689332153724165,79.816,0.684598183631897,76.38,0.002512405976586414
0.5676324279332647,79.818,0.7075799971818924,75.52,0.002451923617965156
0.5574670795883451,80.256,0.6562964975833893,77.21,0.0023910150028797366
0.5600239990317092,80.204,0.6458603471517563,77.83,0.0023297402407796586
0.5563316631073855,80.324,0.6582659214735032,77.67,0.002268159802457324
0.5492731612555835,80.298,0.6690662801265717,77.31,0.0022063344603706595
0.5461143139673739,80.664,0.6889991372823715,76.29,0.002144325228668042
0.5504674941909556,80.466,0.6554631412029266,77.43,0.0020821933029746952
0.536756730201293,80.852,0.6677042603492737,77.15,0.002020000000000001
0.5406424692090677,80.974,0.6497064650058746,77.62,0.0019578066970253067
0.5375674035476179,80.922,0.6633335739374161,77.69,0.0018956747713319603
0.5338943691886201,80.982,0.6745392113924027,77.18,0.0018336655396293422
0.5264039629576157,81.158,0.6583001911640167,77.71,0.0017718401975426784
0.5229014888101694,81.33,0.6404413849115371,78.01,0.0017102597592203435
0.5265574911419226,81.364,0.6534302711486817,77.72,0.001648984997120266
0.522877864691676,81.398,0.6375110387802124,78.4,0.001588076382034847
0.5186661372379381,81.58,0.6515608161687851,77.96,0.001527594023413588
0.5138945029098161,81.576,0.6360520780086517,78.43,0.001467597610042327
0.5140480447788628,81.74,0.6357327312231064,77.98,0.0014081463511376054
0.5092732383280384,81.964,0.6357979357242585,78.53,0.0013492989179143238
0.503632300362295,82.088,0.6250344395637513,78.56,0.0012911133856843388
0.5012150266949011,82.258,0.6482432067394257,78.05,0.0012336471765431348
0.49819518139167707,82.348,0.6349061697721481,78.4,0.0011769570027011567
0.5020923167467117,82.236,0.6432858318090439,78.31,0.001121098810515698
0.4964487616504942,82.316,0.6358586221933364,78.53,0.001066127725278604
0.49593088122046725,82.36,0.6339630335569382,78.52,0.0010120979968142652
0.49392569855767854,82.446,0.6375254958868026,78.51,0.0009590629459415867
0.4878405347770574,82.674,0.6383065789937973,78.34,0.0009070749118527818
0.48719189848218647,82.806,0.6282069832086563,78.7,0.0008561852004609039
0.487920912552853,82.5,0.6253415495157242,78.93,0.0008064440337671069
0.482722879672537,82.888,0.6343464136123658,78.5,0.0007579005002975948
0.4817516444897165,82.898,0.6303504526615142,78.71,0.0007106025066591702
0.48141491291474325,82.906,0.6337013721466065,78.8,0.0006645967302611968
0.4785921029290374,82.874,0.6297830879688263,78.8,0.0006199285732506365
0.47680070783410755,82.98,0.6314605087041855,79.04,0.0005766421177056059
0.4725135513106171,83.246,0.6285732805728912,78.91,0.0005347800821316903
0.47256525469069577,83.272,0.6363298177719117,78.88,0.0004943837793039378
0.4708488291623641,83.402,0.630781838297844,78.92,0.0004554930754961333
0.47291285012449535,83.054,0.6264044374227524,78.92,0.0004181463511376045
0.4723912854583896,83.034,0.6285675168037415,78.88,0.000382380462936368
