train_loss,train_acc,val_loss,val_acc,lr
0.49039086334559384,82.416,0.6446274936199188,78.41,0.0004
0.48871154201274014,82.602,0.6409230887889862,78.63,0.0003999022989524149
0.48783521262966856,82.602,0.6401632994413375,78.77,0.00039960929222879784
0.4883116170459864,82.666,0.642386543750763,78.39,0.00039912126899140993
0.4875483999446947,82.584,0.6441603124141693,78.33,0.00039843871086026674
0.4858941749042394,82.784,0.6396194756031036,78.68,0.00039756229143783736
0.48659346997737885,82.628,0.6369221389293671,78.62,0.00039649287564428047
0.48399979514735086,82.79,0.636356994509697,78.52,0.00039523151886387207
0.48105062726809056,82.724,0.6396400660276413,78.5,0.00039377946590346904
0.48535882879276665,82.67,0.648173040151596,78.35,0.0003921381497640348
0.480057065888327,82.788,0.6380796879529953,78.51,0.0003903091902264405
0.478421116665918,82.866,0.6315890818834304,78.6,0.00038829439225293675
0.480739956607624,82.906,0.6376495748758316,78.84,0.0003860957442058739
0.48059799172440354,82.864,0.6357155591249466,78.95,0.00038371541588542833
0.47666456200638596,82.852,0.6394376963376999,78.67,0.000381155756388272
0.4834674286599062,82.746,0.6372096061706543,78.67,0.00037841929178929694
0.47528573961890475,82.986,0.6298268854618072,78.9,0.00037550872264868507
0.478913562638419,82.874,0.6344633638858795,78.95,0.00037242692134678096
0.47901020974529035,82.936,0.6373465925455093,78.97,0.00036917692924939914
0.47701767664782857,83.074,0.6354135990142822,78.9,0.0003657619537063634
0.47625199386051725,83.082,0.6374983608722686,78.79,0.0003621853648862397
0.47253620898237036,82.918,0.6400546312332154,78.66,0.00035845069245038676
0.47589713304626696,82.896,0.6398901849985122,78.53,0.00035456162206960637
0.47645692557704694,82.962,0.6381551593542099,78.81,0.0003505219917868311
0.47406490177524335,83.08,0.6420085936784744,78.83,0.0003463357882294396
0.4741535296245497,83.084,0.6414365381002426,78.48,0.0003420071426749365
0.47453863979602345,83.248,0.6380530744791031,78.71,0.0003375403269738805
0.4760252416742091,83.142,0.6388749361038208,78.73,0.0003329397493340832
0.4759898170524714,82.934,0.6384237945079804,78.78,0.0003282099499702407
0.47088533335802507,83.21,0.6388878226280212,78.81,0.0003233555966232895
0.4713081626259551,83.064,0.6436865508556366,78.58,0.00031838147995390985
0.47105547451243107,83.178,0.636991661787033,78.98,0.000313292508814722
0.47523692006967505,82.95,0.6424557864665985,78.39,0.00030809370540584144
0.4737766473268976,83.064,0.6427426099777221,78.47,0.0003027902003185736
0.4692444506348396,83.236,0.6373314321041107,78.72,0.00029738722747213973
0.4722490520501623,83.1,0.6412902057170868,78.62,0.00029189011894843037
0.4716038813396376,83.14,0.6355681031942367,78.67,0.0002863042997298845
0.4712478615799729,83.152,0.6448971003293991,78.39,0.00028063528234568665
0.46684673671819726,83.202,0.6405132174491882,78.56,0.0002748886614315664
0.4715358736563702,83.026,0.6372549682855606,78.82,0.00026907010820856786
0.4669399325336729,83.426,0.6355030804872512,78.59,0.00026318536488623975
0.47116946657093206,83.266,0.6391908228397369,78.33,0.00025724023899576756
0.46945004073940977,83.208,0.6319448232650757,78.47,0.00025124059765864134
0.4646983429485438,83.382,0.64445780813694,78.39,0.0002451923617965156
0.4658426195383072,83.39,0.6371165156364441,78.53,0.00023910150028797365
0.46684481659714056,83.192,0.6401437968015671,78.67,0.00023297402407796585
0.4651234225959194,83.328,0.6390625417232514,78.79,0.0002268159802457324
0.46719229008470264,83.35,0.6423567712306977,78.46,0.00022063344603706595
0.4618745285029314,83.51,0.6371621727943421,78.75,0.00021443252286680418
0.46367075796030005,83.58,0.6380959212779999,78.74,0.00020821933029746952
0.4595214916127069,83.444,0.6424712985754013,78.72,0.0002020000000000001
0.4642552237729637,83.274,0.6366931527853013,78.73,0.0001957806697025307
0.46481682116888007,83.288,0.6365654349327088,78.82,0.00018956747713319607
0.4630292459410064,83.398,0.6410297334194184,78.48,0.00018336655396293427
0.4630420457343666,83.44,0.6408002883195877,78.56,0.00017718401975426787
0.46153878192512354,83.522,0.6390531361103058,78.8,0.00017102597592203437
0.46176644156173785,83.388,0.63474500477314,78.96,0.0001648984997120266
0.46009694039821625,83.416,0.6363007485866546,78.75,0.0001588076382034847
0.4630427321000975,83.554,0.6363777726888656,78.69,0.0001527594023413588
0.4588754995136845,83.562,0.6367800027132035,78.96,0.0001467597610042327
0.46436013798324427,83.428,0.640594208240509,78.92,0.00014081463511376053
0.45358818252475896,83.854,0.640193110704422,78.83,0.00013492989179143236
0.46098179871938666,83.654,0.6352467149496078,78.88,0.00012911133856843387
0.4597316226180719,83.528,0.6358982264995575,78.89,0.00012336471765431346
0.45674300254607686,83.672,0.642067763209343,78.7,0.00011769570027011566
0.45836330919849627,83.69,0.6372132033109665,78.9,0.00011210988105156979
0.46151900443495536,83.514,0.6371894031763077,78.85,0.00010661277252786038
0.45824090528244876,83.732,0.6363349109888077,78.88,0.00010120979968142652
0.46044245331871264,83.56,0.6315985053777695,78.98,9.590629459415866e-05
0.45852883008061623,83.67,0.6382902294397355,78.82,9.070749118527817e-05
0.46420776387866663,83.468,0.6365562051534652,79.16,8.561852004609038e-05
0.4579836622792847,83.718,0.6356920063495636,78.93,8.064440337671068e-05
0.4599069584997333,83.55,0.6326792865991593,79.11,7.579005002975947e-05
0.45958371247564045,83.492,0.6391460597515106,78.83,7.1060250665917e-05
0.4608390486362029,83.454,0.6369558304548264,78.63,6.645967302611968e-05
0.45754437939244874,83.648,0.6410518169403077,78.76,6.199285732506364e-05
0.4562213104598376,83.682,0.640027043223381,78.8,5.766421177056059e-05
0.4574584231084707,83.422,0.6376668751239777,78.55,5.347800821316903e-05
0.46187981263715394,83.408,0.6348219573497772,79.08,4.943837793039378e-05
0.46172330300418696,83.472,0.6359301000833512,78.88,4.554930754961333e-05
0.4521900655663743,83.928,0.6401417821645736,78.86,4.181463511376045e-05
0.45624555890657464,83.664,0.6396375387907028,78.75,3.82380462936368e-05
0.4617867652250796,83.48,0.6362465709447861,79.08,3.482307075060108e-05
0.4582325609362855,83.81,0.63674356341362,78.94,3.1573078653219155e-05
0.4573413005896977,83.518,0.6368760824203491,78.79,2.8491277351315026e-05
0.4567921146446345,83.682,0.635873532295227,78.9,2.5580708210703192e-05
0.45584502724968656,83.72,0.632215878367424,79.12,2.2844243611728175e-05
0.45487537828026986,83.846,0.6381596058607102,78.87,2.0284584114571786e-05
0.4567094898345519,83.792,0.6352458089590073,78.84,1.7904255794126237e-05
0.4549443289941671,83.834,0.6395842134952545,78.88,1.5705607747063364e-05
0.4581898602904106,83.556,0.63485789000988,79.14,1.3690809773559604e-05
0.456492260706668,83.492,0.6407380074262619,79.01,1.1861850235965297e-05
