train_loss,train_acc,val_loss,val_acc,lr
0.46854250437142897,83.3,0.6268720984458923,79.03,0.0004
0.4695533742101825,83.382,0.6238922268152237,79.11,0.0003999022989524149
0.46325085844312397,83.486,0.629952922463417,78.82,0.00039960929222879784
0.46795094651835306,83.244,0.6344845205545425,78.86,0.00039912126899140993
0.46725487556992745,83.444,0.6315462023019791,79.11,0.00039843871086026674
0.4677335309739016,83.158,0.6244413197040558,79.14,0.00039756229143783736
0.4654789670389526,83.282,0.6305557072162629,78.83,0.00039649287564428047
0.46271713169253603,83.516,0.6337811022996902,79.06,0.00039523151886387207
0.46266769176843214,83.462,0.6276371330022812,78.87,0.00039377946590346904
0.46265207991308094,83.364,0.6367543667554856,78.79,0.0003921381497640348
0.46562063602768644,83.33,0.6317937523126602,78.73,0.0003903091902264405
0.4602729665989779,83.698,0.6294396191835403,78.82,0.00038829439225293675
0.46375552488833055,83.428,0.631216076016426,78.96,0.0003860957442058739
0.4613483770161259,83.524,0.6316662758588791,78.95,0.00038371541588542833
0.46625142650944845,83.348,0.635850790143013,78.96,0.000381155756388272
0.45913882675219553,83.476,0.633914652466774,79.11,0.00037841929178929694
0.46237559342870904,83.264,0.6319642424583435,78.99,0.00037550872264868507
0.46235858512168027,83.63,0.6318448126316071,78.85,0.00037242692134678096
0.45648463739424333,83.802,0.6317497313022613,78.99,0.00036917692924939914
0.4604507681666588,83.568,0.6291362583637238,79.05,0.0003657619537063634
0.4591319123092963,83.44,0.6313549101352691,78.89,0.0003621853648862397
0.4582556680757172,83.67,0.6322431981563568,78.85,0.00035845069245038676
0.46319418932710377,83.494,0.6331207752227783,79.01,0.00035456162206960637
0.4561671228433142,83.56,0.6346069276332855,78.9,0.0003505219917868311
0.4586913564375469,83.702,0.6292847871780396,78.94,0.0003463357882294396
0.45298124667333095,83.712,0.6351920127868652,78.96,0.0003420071426749365
0.45763398189933935,83.524,0.6311952710151673,79.18,0.0003375403269738805
0.4584122993508164,83.692,0.6296689361333847,78.93,0.0003329397493340832
0.45765471215150794,83.758,0.6324262350797654,79.07,0.0003282099499702407
0.45803085516910164,83.58,0.6317447125911713,79.08,0.0003233555966232895
0.4563871907944582,83.682,0.6339575827121735,79.14,0.00031838147995390985
0.4589658492073721,83.598,0.6336476564407348,78.68,0.000313292508814722
0.456855368857481,83.706,0.636887726187706,78.95,0.00030809370540584144
0.4521248675122553,83.83,0.6295007973909378,79.08,0.0003027902003185736
0.45200104798589436,83.834,0.6321895271539688,78.88,0.00029738722747213973
0.45176671080443326,83.906,0.633624917268753,78.99,0.00029189011894843037
0.4538265995833339,83.966,0.6328766763210296,79.24,0.0002863042997298845
0.45209026367080457,83.822,0.6375546753406525,78.93,0.00028063528234568665
0.45164428772974985,83.73,0.6355873972177506,79.07,0.0002748886614315664
0.45297337125758735,83.79,0.6303063571453095,79.16,0.00026907010820856786
0.4542178076748945,83.822,0.635538125038147,79.16,0.00026318536488623975
0.4506381962980543,83.836,0.6342634558677673,79.13,0.00025724023899576756
0.4475704477149613,84.0,0.6338052392005921,79.09,0.00025124059765864134
0.4471889144303847,84.162,0.6333045065402985,79.08,0.0002451923617965156
0.4551226387218553,83.798,0.6349790275096894,78.98,0.00023910150028797365
0.44683618174523726,84.046,0.6358540117740631,79.15,0.00023297402407796585
0.45027629149203396,83.922,0.6336989909410476,79.15,0.0002268159802457324
0.44933420145998193,83.984,0.632859680056572,78.99,0.00022063344603706595
0.4509568223539664,83.772,0.6353827565908432,79.04,0.00021443252286680418
0.4482842586478408,84.064,0.6317119479179383,79.3,0.00020821933029746952
0.44972982272809864,83.956,0.6379836708307266,79.11,0.0002020000000000001
0.4526007585987753,83.838,0.6339625030755996,79.19,0.0001957806697025307
0.4564571620858445,83.688,0.6344773262739182,79.12,0.00018956747713319607
0.4482041518298947,83.978,0.6322015538811684,79.06,0.00018336655396293427
0.45071269146033693,83.956,0.63185233771801,79.14,0.00017718401975426787
0.443592052070462,84.18,0.6325280100107193,79.19,0.00017102597592203437
0.44492108055523466,84.0,0.6321154445409775,79.05,0.0001648984997120266
0.4433440864086151,84.092,0.630724486708641,79.19,0.0001588076382034847
0.4468963216153943,84.036,0.6365077823400498,79.14,0.0001527594023413588
0.4469399327526287,84.004,0.6363513380289078,79.18,0.0001467597610042327
0.4460333680011788,84.088,0.6344392150640488,79.04,0.00014081463511376053
