train_loss,train_acc,val_loss,val_acc
0.5207810003662963,81.386,0.6299310150040183,78.91
0.5235200673722855,81.41,0.6249607397112876,78.78
0.5222379620308462,81.278,0.629210937744493,78.55
0.5189394300322399,81.448,0.623837009546863,78.83
0.5252413092100102,81.332,0.6200851786668133,78.87
0.5185657807285219,81.672,0.6248111521742147,78.56
0.5241673035008828,81.354,0.6249472322357688,78.61
0.5229046633252707,81.316,0.6301385635023664,78.8
0.520788065460332,81.508,0.6228906183865419,78.9
0.5241419250702919,81.5,0.6296205497851037,78.91
0.5231507292107853,81.516,0.6351549333068216,78.85
0.5247170920567135,81.216,0.6271316961498018,79.04
0.5246549178762814,81.418,0.6323347270109092,78.77
0.520213614453745,81.424,0.6327658369662655,78.6
0.522814501543789,81.444,0.6278104339815249,78.95
0.5230864851599764,81.29,0.6273214837927727,78.78
0.5224358611704444,81.312,0.6238191268246644,78.89
0.5213368328483513,81.408,0.6288352386586985,78.8
0.5215620859180723,81.544,0.6292143534323212,78.9
0.5270430492927961,81.242,0.623118875892299,79.04
0.5263227117640893,81.308,0.6249865661760804,78.86
0.5230436326597657,81.424,0.631001453870421,78.61
0.5215088652680292,81.434,0.6252283848774661,79.05
0.5244256307935471,81.266,0.6293437086093198,78.7
0.5167615244455654,81.52,0.6191947644303559,79.15
0.5250413462786419,81.22,0.629627180137452,78.82
0.5195756288402525,81.598,0.6265102651468508,78.63
0.5232975002749801,81.358,0.6264877721762202,78.82
0.523012687559323,81.298,0.6353004681076974,78.79
0.5211803917308597,81.42,0.6276877774934101,78.61
0.5252689554753815,81.302,0.6341191938348637,78.76
0.5268928631568504,81.506,0.6257580966706489,78.68
0.5213100793568984,81.386,0.6249370548375852,78.88
0.5206870806720251,81.53,0.6285998587775382,78.64
0.5294917895437201,81.106,0.6274497991154908,78.57
0.5222038733570472,81.338,0.6312711553968442,78.64
0.5240151273548755,81.276,0.6256487527091033,79.12
0.5211849215695316,81.44,0.6249498447794823,78.89
0.522920279361098,81.51,0.6292498781802548,78.69
0.5218729392227615,81.458,0.6259236510392208,78.72
0.5206206906634523,81.528,0.6294807730966313,78.49
0.5183277839170698,81.618,0.6259229781141706,78.6
0.5216730018253521,81.562,0.6278811097145081,78.82
0.5281939192882279,81.25,0.6254165764826878,78.99
0.5229241077209372,81.524,0.6260709586037192,78.78
0.5224513970791836,81.536,0.6349808038419978,78.86
0.5243253705408567,81.402,0.62781466724007,78.76
0.5243517278557848,81.514,0.62747737499559,78.84
0.5239852108728246,81.558,0.6265829070738167,79.04
0.5252467857678528,81.332,0.6236308340434056,78.83
